libstaroffice 0.0.8-1
libstdc++ 16.2.1+r23+gd564253eb6c8-1
libstemmer 3.1.1-1
libsynctex 2026.0-2
libsysprof-capture 50.0-6
libtasn1 4.21.0-1
libtatsu 1.0.5-1
libteam 1.32-3
libthai 0.1.30-1
libtheora 1.2.0-1
libtiff 4.7.2-1
libtirpc 1.3.7-1
libtommath 1.3.0-2
libtool 2.6.2-5
libtsan 16.2.1+r23+gd564253eb6c8-1
libubsan 16.2.1+r23+gd564253eb6c8-1
libunibreak 7.0-1
libuninameslist 20260107-1
libunistring 1.4.2-1
libunwind 1.8.2-1
libupnp 1.14.31-1
liburing 2.15-1
libusb 1.0.30-1
libusbmuxd 2.1.1-2
libutempter 1.2.3-1
libutf8proc 2.11.3-1
libuv 1.52.1-1
libva 2.24.1-1
libva-nvidia-driver 0.0.17-1
libvdpau 1.5-4
libverto 0.3.2-6
libvisio 0.1.11-1
libvorbis 1.3.7-4
libvpl 2.17.0-1
libvpx 1.16.0-3
libvterm 0.3.3-2
libwacom 2.19.1-1
libwebp 1.6.0-2
libwireplumber 0.5.15-1
libwpd 0.10.3-6
libwps 0.4.14-4
libx11 1.8.13-1
libxau 1.0.12-1
libxcb 1.17.0-1
libxcomposite 0.4.7-1
libxcrypt 4.5.2-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.7-1
libxdmcp 1.1.5-2
libxext 1.3.7-1
libxfixes 6.0.2-1
libxfont2 2.0.9-1
libxft 2.3.9-1
libxi 1.8.3-1
libxinerama 1.1.6-1
libxkbcommon 1.13.2-1
libxkbcommon-x11 1.13.2-1
libxkbfile 1.2.0-1
libxml2 2.15.3-1
libxmlb 0.3.29-1
libxmu 1.3.1-1
libxnvctrl 610.57.04-1
libxrandr 1.5.5-1
libxrender 0.9.12-1
libxshmfence 1.3.3-1
libxslt 1.1.45-2
libxss 1.2.5-1
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.7-1
libyuv r2921+644251f25-1
libzip 1.11.4-1
libzmf 0.0.2-20
licenses 20240728-1
lilv 0.28.0-1
linux 7.1.9.arch1-2
linux-api-headers 7.2-1
linux-firmware 20260810-2
linux-firmware-amdgpu 20260810-2
linux-firmware-atheros 20260810-2
linux-firmware-broadcom 20260810-2
linux-firmware-cirrus 20260810-2
linux-firmware-intel 20260810-2
linux-firmware-mediatek 20260810-2
linux-firmware-nvidia 20260810-2
linux-firmware-other 20260810-2
linux-firmware-radeon 20260810-2
linux-firmware-realtek 20260810-2
linux-firmware-whence 20260810-2
linux-headers 7.1.9.arch1-2
linux-zen 7.1.9.zen1-2
linux-zen-headers 7.1.9.zen1-2
lld 22.1.8-1
lld20 20.1.8-1
llhttp 9.3.1-1
llvm 22.1.8-2
llvm-libs 22.1.8-2
llvm20 20.1.8-1
llvm20-libs 20.1.8-1
lm_sensors 1:3.6.2-1
lmdb 0.9.35-1
localsearch 3.11.1-2
lowdown 3.1.1-1
lpsolve 5.5.2.14-1
lua 5.5.1-1
lua51-lpeg 1.1.0-5
lua54 5.4.8-6
luajit 2.1.1787165859+1ee778a-1
